خبر فوری همین که خبری‌ در راه است,хабари фаврӣ ҳамин ки хабаре дар роҳ аст
هیجان انقلابی شور و شوق ملی‌را کشته بود,ҳаяҷони инқилобӣ шӯру шавқи миллиро кушта буд
هدف دسترسی به یک الفبا و در نهایت یک زبان واحد در میان مللی بود که انقلاب رنجبران‌را تجربه کرده‌اند,ҳадаф дастрасӣ ба як алифбо ва дар ниҳоят як забони воҳид дар миёни милале буд ки инқилоби ранҷбарон-ро таҷруба кардаанд
به گونه‌ای که در مطبوعات آن روزگار رسمالخط لاتینی‌را الفبای اکتبر می‌نامیدند,ба гунае ки дар матбӯъоти он рӯзгор расмулхатти лотиниро алифбои уктурб меномиданд
اما رفته‌رفته این نکته برجسته شد که مشکل عقیدتی اتحاد شوروی عمدتاً با ملل مسلمان و غیرمسیحی است,аммо рафта-рафта ин нукта барҷаста шуд ки мушкили ъақидатии иттиҳоди шӯравӣ ъумдатан бо милали мусалмону ғайримасеҳист
در نتیجه تنها دامن الفبای عربی از اتحاد شوروی برچیده شد,дар натиҷа танҳо домани алифбои ъарабӣ аз иттиҳоди шӯравӣ барчида шуд
گرجی‌ها و ارمنی‌ها که الفباهای کهن خود‌را دارند درگیر این ماجرا نشدند چون غالباً مسیحی بودند,гурҷиҳову арманиҳо ки алифбои куҳани худро доранд даргири ин моҷаро нашуданд чун ғолибан масеҳӣ буданд
اما الفبای آذری‌ها ترکمن‌ها تاتارها تاجیک‌ها ازبک‌ها قرقیزها و قزاق‌ها و همۀ اقوام کوچکتر مسلمان حتماً باید عوض می‌شد چون بخش اعظم این مردمان مسلمان بودند و رسم‌الخط پیشینشان عربی بود,аммо алифбои озариҳо туркманҳо тоторҳо тоҷикҳо узбакҳо қирқизҳову қазоқҳо ва ҳамаи ақвоми кӯчактари мусалмон ҳатман бояд ъиваз мешуд чун бахши аъзами ин мардумон мусалмон буданд ва расмулхатти пешинашон ъарабӣ буд
تغییر الفبا در اتحاد شوروی بتمام انگیزۀ سیاسی و عقیدتی داشت,тағйири алифбо дар иттиҳоди шӯравӣ батамом ангезаи сиёсию ъақидатӣ дошт
بهای گزاف هم‌زبانی,баҳои газофи ҳамзабонӣ
تقریباً همزمان با عهدنامۀ گلستان حکومت تزاری روسیه پیمان بخارِست‌را هم امضا کرده بود با امپراتوری عثمانی در سال در نتیجه مُلداوی بخشی از امپراتوری روسیه شد و بعد از پیروزی بُلشویک‌ها بخشی از اتحاد شوروی,тақрибан ҳамзамон бо ъаҳдномаи гулистон ҳукумати тезории русия паймони бухорестро ҳам имзо карда буд бо импротурии ъусмонӣ дар соли дар натиҷа мулдовӣ бахше аз импротурии русия шуд ва баъд аз пирӯзии булшевиҳо – бахше аз иттиҳоди шӯравӣ
تفاوت مُلداوی با سایر بخش‌های شوروی این بود که در بیرون از مرزهای شوروی همسایه‌ای داشت هم‌زبان و هم‌تبار,тафовути мулдовӣ бо соири бахшҳои шӯравӣ ин буд ки дар берун аз марзҳои шӯравӣ ҳамсояе дошт ҳамзабону ҳамтабор
زبان ملی مردم ملداوی رومانیایی است,забони миллии мардуми мулдовӣ румониёӣ аст
اما در دوران اشغال شوروی نام زبان ملی این کشور تبدیل به مُلداویایی شد و خط آن هم بعد تغییر کرد,аммо дар даврони ишғоли шӯравӣ номи забони миллии ин кишвар табдил ба мулдовиёӣ шуд ва хатти он ҳам баъд тағйир кард
