حوادث روزهای آخر در ایران تمام جهان‌را به خود جلب نموده,ҳаводиси рӯзҳои охар дар эрон тамоми ҷаҳонро ба худ ҷалб намуда
اگر آمریکا جهانیان‌را باور کناند که سیاست‌هایش عوض شده و امروز در پی سلطه‌خواهی نیست و تنها مناسبات سازشکارانه‌را می‌خوهد پیش‌برد آن سیاست‌های امپریولیستی خودرا آسان خواهد کرد,агар омрико ба ҷаҳониёнро бовар кунонад ки сиёсатҳояш иваз шуда ва имрӯз дар пайи салтахоҳӣ нест ва танҳо муносиботи созишкоронаро мехоҳад пешбурди он сиёсатҳои имперюлистии худро осон хоҳад кард
کشوری مثل آمریکا هیچ گاه نمی‌تواند از آن خواسته‌های سلطه‌طلبی رو گرداند چون این همه بر سود آن‌هاست,кишваре мисли омрико ҳеч гоҳ наметавонад аз он хостаҳои салталабӣ рӯ гардонад чун ин ҳама бар суди онҳост
گذشته از آن بنده باوری کامل دارم که ایران در سیاست خارجی آمریکا از اولیت‌هایی برخردار است,гузашта аз он банда боварии комил дорам ки эрон дар сиёсати хориҷии омрико аз аввалиятҳое бархурдор аст
هم جنگ افغانستان هم جنگ عراق و هم حضور اقتسادی و نظامی آمریکا در خلیج فارس و ترکیه همه به خاطر ایران است,ҳам ҷанги афғонистон ҳам ҷанги ироқ ва ҳам ҳузури иқтисодиву низомии омрико дар халиҷи форс ва туркия ҳама ба хотири эрон аст
حتا تصمیم آمریکا برای بالا بردن نفوظ خود در منطقه‌ی قفقاز از مسائل ایران دور نیست,ҳатто тасмими омрико барои боло бурдани нуфузи худ дар минтақаи қафқоз аз масоъили эрон дур нест
البته در سیاست آمریکا در قفقاز روسیه از اولیت برخردار است ولی ایران هم از فکر شکل‌دهندگان سیاست آمریکا در قفقاز دور نیست,албатта дар сиёсати омрико дар қафқоз русия аз аввалият бархурдор аст вале эрон ҳам аз фикри шаклдиҳандагони сиёсати омрико дар қафқоз дур нест
ایران تنها تهدیدی در خاور میانه علیه سلطه‌ی آمریکاست,эрон танҳо таҳдиде дар ховари миёна алайҳи салтаи омрикост
البته درست است که آمریکا دوست دارد با سایر کشورها روابط سازشکارانه‌ای داشته باشد ولی همه‌ی این محدودیت‌هایی‌را دارد,албатта дуруст аст ки омрико дӯст дорад бо соири кишварҳо равобити созишкоронае дошта бошад вале ҳамаи ин маҳдудиятҳоеро дорад
توسعه‌ی سایر کشورها در معرض محدودیت‌های آمریکا قرار دارند,тавсиъаи соири кишварҳо дар маърази маҳдудиятҳои омрико қарор доранд
آمریکا مثل هر ابرقدرت دیگری نمی‌گذارد هیچ کشوری مانع منافعش در منطقه‌ای باشد یا هیچ کشوری از آن نیرومندتر باشد,омрико мисли ҳар абаркудрати дигаре намегузорад ҳеч кишваре монеъи манофеъаш дар минтақае бошад ё ҳеч кишваре аз он нерӯмендтар бошад
در کل هیچ تازگیی در سیاست خارجی آمریکارا تا به حال ندیده‌ام,дар кулл ҳеч тозагӣ дар сиёсати хориҷии омрико то ба ҳол надидаам
آمریکا همانا می‌کوشد که نفوذش‌را در جهان بیشتر نماید و منافع اقتسادی خودرا تامین نماید,омрико ҳамоно мекӯшад ки нуфузашро дар ҷаҳон бештар намояд ва манофеъи иқтисодии худро таъмин намояд
گذشته از آن آن رباطه‌ای که آمریکا با رژیم صحیونیست دارد به هیچ وجه به سود ملت مظلوم فلسطین نخواهد بود,гузашта аз он робитае ки омрико бо режими саҳюнист дорад ба ҳеч ваҷҳ ба суди миллати мазлуми фаластин нахоҳад буд
رژیم صحیونیست بسط امپریولیسم غرب امروز آمریکا در منطقه است و وجود آن همیشه مانع آزادی و استقلال منطقه خواهد بود,режими саҳюнист басти протяжение имперюлисми ғарб имрӯз омрико дар минтақа аст ва вуҷуди он ҳамеша монеъи озодӣ ва истиқлоли минтақа хоҳад буд
