Ҳаводиси рӯзҳои охар дар Эрон тамоми ҷаҳонро ба худ ҷалб намуда	حوادث روزهای آخر در ایران تمام جهان‌را به خود جلب نموده
Омрико мисли ҳар як кишвари нерӯманд ҳар кореро барои салтаталабии хеш хоҳад кард – аз ҷумла гӯл задани мардум бо ҳарфҳои ширин	آمریکا مثل هر یک کشور نیرومند هر کاری‌را برای سلطه‌طلبی خویش خواهد کرد – از جمله گول زدن مردم با حرف‌های شیرین
Агар Омрико ба ҷаҳониёнро бовар кунонад ки сиёсатҳояш иваз шуда ва имрӯз дар пайи салтахоҳӣ нест ва танҳо муносиботи созишкоронаро мехоҳад пешбурди он сиёсатҳои имперюлистии худро осон хоҳад кард	اگر آمریکا جهانیان‌را باور کناند که سیاست‌هایش عوض شده و امروز در پی سلطه‌خواهی نیست و تنها مناسبات سازشکارانه‌را می‌خوهد پیش‌برد آن سیاست‌های امپریولیستی خودرا آسان خواهد کرد
Кишваре мисли Омрико ҳеч гоҳ наметавонад аз он хостаҳои салталабӣ рӯ гардонад чун ин ҳама бар суди онҳост	کشوری مثل آمریکا هیچ گاه نمی‌تواند از آن خواسته‌های سلطه‌طلبی رو گرداند چون این همه بر سود آن‌هاست
Гузашта аз он банда боварии комил дорам ки Эрон дар сиёсати хориҷии Омрико аз аввалиятҳое бархурдор аст	گذشته از آن بنده باوری کامل دارم که ایران در سیاست خارجی آمریکا از اولیت‌هایی برخردار است
Ҳам ҷанги Афғонистон ҳам ҷанги Ироқ ва ҳам ҳузури иқтисодиву низомии Омрико дар Халиҷи Форс ва Туркия ҳама ба хотири Эрон аст	هم جنگ افغانستان هم جنگ عراق و هم حضور اقتسادی و نظامی آمریکا در خلیج فارس و ترکیه همه به خاطر ایران است
Ҳатто тасмими Омрико барои боло бурдани нуфузи худ дар минтақаи Қафқоз аз масоъили Эрон дур нест	حتا تصمیم آمریکا برای بالا بردن نفوظ خود در منطقه‌ی قفقاز از مسائل ایران دور نیست
Албатта дар сиёсати Омрико дар Қафқоз Русия аз аввалият бархурдор аст вале Эрон ҳам аз фикри шаклдиҳандагони сиёсати Омрико дар Қафқоз дур нест	البته در سیاست آمریکا در قفقاز روسیه از اولیت برخردار است ولی ایران هم از فکر شکل‌دهندگان سیاست آمریکا در قفقاز دور نیست
Эрон танҳо таҳдиде дар Ховари Миёна алайҳи салтаи Омрикост	ایران تنها تهدیدی در خاور میانه علیه سلطه‌ی آمریکاست
Албатта дуруст аст ки Омрико дӯст дорад бо соири кишварҳо равобити созишкоронае дошта бошад вале ҳамаи ин маҳдудиятҳоеро дорад	البته درست است که آمریکا دوست دارد با سایر کشورها روابط سازشکارانه‌ای داشته باشد ولی همه‌ی این محدودیت‌هایی‌را دارد
Тавсиъаи соири кишварҳо дар маърази маҳдудиятҳои Омрико қарор доранд	توسعه‌ی سایر کشورها در معرض محدودیت‌های آمریکا قرار دارند
Омрико мисли ҳар абаркудрати дигаре намегузорад ҳеч кишваре монеъи манофеъаш дар минтақае бошад ё ҳеч кишваре аз он нерӯмендтар бошад	آمریکا مثل هر ابرقدرت دیگری نمی‌گذارد هیچ کشوری مانع منافعش در منطقه‌ای باشد یا هیچ کشوری از آن نیرومندتر باشد
Дар кулл ҳеч тозагӣ дар сиёсати хориҷии Омрико то ба ҳол надидаам	در کل هیچ تازگیی در سیاست خارجی آمریکارا تا به حال ندیده‌ام
Омрико ҳамоно мекӯшад ки нуфузашро дар ҷаҳон бештар намояд ва манофеъи иқтисодии худро таъмин намояд	آمریکا همانا می‌کوشد که نفوذش‌را در جهان بیشتر نماید و منافع اقتسادی خودرا تامین نماید
Гузашта аз он робитае ки Омрико бо Режими Саҳюнист дорад ба ҳеч ваҷҳ ба суди миллати мазлуми Фаластин нахоҳад буд	گذشته از آن آن رباطه‌ای که آمریکا با رژیم صحیونیست دارد به هیچ وجه به سود ملت مظلوم فلسطین نخواهد بود
Режими Саҳюнист басти протяжение имперюлисми ғарб имрӯз Омрико дар минтақа аст ва вуҷуди он ҳамеша монеъи озодӣ ва истиқлоли минтақа хоҳад буд	رژیم صحیونیست بسط امپریولیسم غرب امروز آمریکا در منطقه است و وجود آن همیشه مانع آزادی و استقلال منطقه خواهد بود
