гимнастика	ژیمناستیک
Исаҳая	ایساهایا،
Ваҷима	واجیما،
Юзава	یوزاوا،
Кушима	کوشیما،
Сузу	سوزو،
Ҳитачиота	هیتاچی‌اوتا
Шиоҷири	شیوجیری،
Каизу	کایزو،
Ога	اوگا،
Оябе	اویابه،
Фучу, Ҳирошима	فوجو، هیروشیما
Ками	کامی،
Итако	ایتاکو،
Яматотакада	یاماتوتاکادا،
Геро	گرو،
Инашики	ایناشیکی،
Фукутсу	فوکوتسو،
Уеда	اوئدا،
Уташинаи	اوتاشینای،
Накама	ناکامه،
Уто	اوتو،
Минамиауаҷи	مینامی‌آواجی
Бунгооно	بونگو-اونو،
Огаки	اوگاکی،
Тоёкава	تویوکاوا،
Тсубаме	تسوبامه،
Шибата	شیباتا،
Миноҳ	مینو،
Ширакава	شیراکاوا،
Иида	ایدا،
Кобаяши	کوبایاشی،
Госен	گوسن،
Яманаши	یاماناشی،
Ушику	اوشیکو،
Матсудо	ماتسودو،
Изумисано	ایزومی‌سانو
Укиҳа	اوکیها،
Тоон	تواون،
Ибусуки	ایبوسوکی،
Ишиномаки	ایشینوماکی،
Сеттсу	ستسو،
Осакасаяма	اوساکاسایاما،
Сусаки	سوساکی،
Тосашимизу	توساشیمیزو،
Иванума	ایوانوما،
Фуҷиномия	فوجی‌نومیا
Оноҷо	اونوجو،
Овариасаҳи	اواری‌آساهی
Ҳикари	هیکاری،
Ҳабикино	هابی‌کینو
Икеда	ایکه‌دا
Мино, Гифу	مینو، گیفو
Уваҷима	اهیمه
Тагава	تاگاوا،
Саито	سایتو،
Ҳитоёши	هیتویوشی،
Мизуҳо	میزوهو،
Тагаҷо	تاگاجو،
Катсураги	کاتسوراگی،
Зама	زاما،
Конан	کونان،
Инабе	اینابه،
Тсуругашима	تسوروگاشیما،
Ҳамада	هامادا،
Кисаразу	کیسارازو،
Камогава	کاموگاوا،
Шиманто	شیمانتو،
Тоёока	تویواوکا،
Бандо	باندو،
Куроиши	کوروایشی،
Широи	شیروی،
Бибаи	بیبای،
Сома	سوما،
Азумино	آزومینو،
Ҷосо	جوسو،
Саикаи	سایکای،
Нумата	نوماتا،
Саката	ساکاتا،
Ирума	ایروما،
Сано	سانو،
Фурано	فورانو،
Ҳасуда	هاسودا،
Чикуго	چیکوگو،
Широиши	شیروایشی،
Ҳигашиматсуяма	هیگاشی‌ماتسویاما
Товада	توادا،
Фуҷиёшида	فوجی‌یوشیدا
Кога	کوگا،
Тамано	تامانو،
Иияма	اییاما،
Томисато	تومیساتو،
Саяма	سایاما،
Томи	تومی،
Рюгасаки	ریوگاساکی،
Микаса	میکاسا،
Каноя	کانویا،
Китсуки	کیتسوکی،
Тоса	توسا،
Кикучи	کیکوچی،
Мока	موکا،
Ичикикушикино	ایچیکی‌کوشیکینو،
Канума	کانوما،
Ёнезава	یونه‌زاوا
Етаҷима	اتاجیما،
Куки	کوکی،
Комае	کومائه،
Яматокорияма	یاماتوکوری‌یاما،
Уса	اوسا،
Ҳиросаки	هیروزاکی،
Наго	ناگو،
Ивакуни	ایواکونی،
Зуши	زوشی،
Комаки	کوماکی،
Агано	آگانو،
Мураками	موراکامی،
Уки	اوکی،
Ҳашима	هاشیما،
Нагаҳама	ناگاهاما،
Нагаокакио	ناگائوکاکیو،
Чита	چیتا،
Итами	ایتامی،
Кувана	کووانا،
Макуразаки	ماکورازاکی،
Кашивазаки	کاشیوازاکی،
Моригучӣ	موریگوچی،
Сето	ستو،
Танабе	تانابه،
Матсубара	ماتسوبارا،
Ито	ایتو،
Китаками	کیتاکامی،
Комагане	کوماگانه،
Тсуруока	تسورواوکا،
Ҳита	هیتا،
Камеяма	کامه‌یاما
Госе	گوسه،
Сетоучи	ستوئوچی،
Мияконоҷо	میاکونوجو،
Чино	چینو،
Мизунами	میزونامی،
Имари	ایماری
Миязу	میازو،
Мима	میما،
Таку	تاکو،
Енива	انیوا،
Миҳара	میهارا،
Сукумо	سوکومو،
Шики	شیکی،
Асо	آسو،
Урасое	اوراسوئه،
Бузен	بوزن،
Каизука	کایزوکا،
Ҳигашине	هیگاشینه،
Канонҷи	کان‌اونجی
Конан, Кочи	کونان، کوچی
Ҳакуи	هاکویی،
Ҷоё	کیوتو
Накатсугава	ناکاتسوگاوا،
Нагаи	ناگای،
Минокамо	مینوکامو،
Ничинан	نیچینان،
Арао	آرائو،
Кумано	کومانو،
Касаи	کاسای،
Ҳаню	هانیو،
Ҳаннан	هان نان،
Муко	موکو،
Кётанго	کیوتانگو،
Ҳими	هیمی،
Такаҳама	تاکاهاما،
Тоёаке	تویوآکه،
Шингу	شینگو،
Нишиваки	نیشی‌واکی
Нишиваки	نیشی‌واکی
Пхенян	پیونگ‌یانگ
Чиба	چیبا
Точиги	توچیگی
Яманаши	یاماناشی
Иватэ	ایواته
Ямагата	یاماگاتا
Сига	استان شیگا
Кумамото	کوماموتو
Канагава	کاناگاوا
Гифу	گیفو
Коти	کوچی
Киото	کیوتو
Вакаяма	واکایاما
Осака	اوساکا
Акита	آکیتا
Токусима	توکوشیما
Кагосима	کاگوشیما
Мияги	میاگی
Оита	اوئیتا
Эхимэ	اهیمه
Тоттори	توتوری
Кагава	کاگاوا
Нара	نارا
Окинава	اوکیناوا
Миядзаки	میازاکی
Айчи	آیچی
Фукуока	فوکوئوکا
Сага	ساگا
Саитама	سایتاما
Тояма	تویاما
Фукуи	فوکوئی
Ҳёго	هیوگو
Аомори	آئوموری
Шизуока	شیزوئوکا
Симанэ	استان
Нагано	ناگانو
Ниигата	نیگاتا
Исикава	استان ایشیکاوا
Ҳиросима	هیروشیما
Нагасаки	ناگاساکی
Миэ	میه
Ямагути	یاماگوچی
Окаяма	اوکایاما
Гумма	گونما
Фукушима	فوکوشیما
Мадрид	زنان رئال مادرید
над Лабем	ناد لابم
Гибралтар	جبل طارق
Фурудгоҳи високопотном	فرودگاه ویساکاپاتنام
Фурудгоҳи високопотном	فرودگاه ویساکاپاتنام
Фурудгоҳи високопотном	فرودگاه ویساکاپاتنام
Пойгоҳи ҳавоии Сул	پایگاه هوایی ثول
Сэтагая	ستاگایا،
Донишгоҳи Леедс	دانشگاه لیدز
салтанатии Ландан	سلطنتی لندن
Донишгоҳи Ливерпоол	دانشگاه لیورپول
Донишгоҳи Шеффиелд	دانشگاه شفیلد
Боробудур	بوروبودور
Лозанна	لوزان
Морж	مورژ
Роршах	رورشک،
Люсерн	لوسرن
Берн	برن
Женева	ژنو
Зюрих	زوریخ
Веве	وو
Винтертур	ونترتور
Базел	بازل
Лейк-Плэсид	لیک پلاسید
Калгари	کالگری
Гуантанамо	گوانتانامو
Мапуту	ماپوتو
Мапуту	ماپوتو
Мапуту	ماپوتو
Мапуту	ماپوتو
Мапуту	ماپوتو
Мапуту	ماپوتو
Мапуту	ماپوتو
Мапуту	ماپوتو
Мапуту	ماپوتو
Эгг	اگ،
Нентсинг	ننتسینگ
Ҳёрбрантс	هوربرانتس
Ҳард	هارد
Шрунс	شرون
Волфурт	ولفورت
Руҳрав	روهرو،
Лаутерах	لوتراخ
Лустенау	لوستن‌آئو
Бетсау	بتسو
Асперҳофен	اشپرهوفن
Легиони ифтихорӣ	لژیون دونور
Легиони ифтихорӣ	لژیون دونور
Легиони ифтихорӣ	لژیون دونور
Пинк Флойд	پینک فلوید
Давлати Эрон	دولت ایران
Бавария	بایرن
Виктория	ویکتوریا،
Виктория	ویکتوریا،
Виктория	ویکتوریا،
Виктория	ویکتوریا،
Иттиҳоди тоҷик	متحد تاجیک
Оскар	اسکار
Сарагоса	ساراگوسا
военно-воздушные силы Великобритании	سلطنتی
Нерӯи ҳавоии Иёлоти Амрико	نیروی هوایی ایالات آمریکا
Нерӯҳои Булғористон	نیروی هوایی بلغارستان
Донишгоҳи Абердин	دانشگاه آبردین
Донишгоҳи Милан	دانشگاه میلان
Донишгоҳи Хронинген	دانشگاه خرونینگن
Донишгоҳи Дунди	دانشگاه داندی
Лигаи Урупо	لیگ اروپا
Лигаи Чемпионҳои УЕФА	لیگ قهرمانان اروپا
Лигаи бартари Ҳиндустон	لیگ برتر هند
Маҷлиси Тоҷикистон	مجلس تاجیکستان
Сабҳа	سابا
Константса	کونستانس
Бистритса	بیستریتسا
Карансебеш	کرنسبش
Фокшани	فوکشان
Каракал	کرکل
Сигету-Марматсией	سیگتو مرمتسیه
Галатс	گالاتسی
Клуж-Напока	کلوژ-نپوکا
Ботошани	بوتوشن
Римнику-Вилча	رمنیکو ولچا
Слатина	ستیئا
Тирговиште	تیرگوویشته
Сигишоара	سیگیشوآرا
Дева	دوا
Мотру	موترو
Онешти	اونشت
Кимпулунг-Мусчел	کمپولون
Вулкан	وولکن
Бирлад	برله
Хуши	هوش
Рэдэутси	ردوتس
Фэгэраш	فگره
Ҷурҷу	جورجی
Хунедоара	هوندوئارا
Бэйлешти	بیلش
Бая-Маре	بایا ماره
Пьятра-Нямтс	پیاترا نئم
Васлуй	وزلو
Лупени	لوپه
Сучава	سوچاوا
Бухарест	بخارست
Лугож	لوگوژ
Тиргу-Муреш	ترگو مورش
Сэчеле	ساچله
Турну-Мэгуреле	تورنو مگورل
Герла	گرله
Дрэгэшани	درگشنه
Меркуря-Чук	میرکورا چو
Топлитса	توپلیتسا
Брашов	براشوف
Себеш	سبش
Салонта	سلونته
Дорохой	دوروهو
Кимпулунг-Молдовенеск	کومپولونگ مولدومنه
Алба-Юлия	البا لولیا
Римнику-Сэрат	رمنیکو سره
Рошиорий-де-Веде	روشیوری ده وده
Тулча	تولچه
Тимишоара	تیمیشوارا
Георгени	گئورگه
Меҷидия	مدجیجا
Регин	رگین
Урзичени	اورزیچه
Роман	رومان
Бакэу	بکو
Ватра-Дорней	وتره دورنه
Сфинту-Георге	سفنتو گئورگه
Брэила	برئیلا
Решитса	رشیتسا
Орэштие	اورشتیه
Сату-Маре	ستو ماره
Кимпия-Турзий	کمپیا تورزی
Фэлтичени	فالتیچه
Текуч	تکوچ
Одорхею-Секуйеск	اودورهیو سکویس
Кодля	کودله
Фетешти	فتش
Блаж	بله
Маргита	مرگیته
Беюш	بیهور
Питешти	پیتشت
Плоешти	پلویشت
Аҷуд	ادژو
Аюд	ایو
Кимпина	کمپیا
Оршова	اورشووا
Турда	توردا
Сибиу	سیبیو
Яш	یاش
Арад	آراد
Дробета-Турну-Северин	دروبتا-تورنو سورین
Бузэу	بوزائو
Деж	ده
Кэлэраши	کلرش
Мойнешти	موینشت
Тиргу-Секуйеск	ترگو سکوئیس
Крайова	کرایووا
Петрошани	پتروشن
Морени	موره
Медиаш	مدیا
Калафат	کلفه
Олтенитса	اولتنیتسا
Тирнэвени	ترناوه
Карей	کره
Орадя	اورادئا
Куртя-де-Арҷеш	کورتا ده ارجه
Куртя-де-Арҷеш	کورتا ده ارجه
Пиренеи	اوپیرنه
Майенн	ماین
Венна	وین
Буш дю Рон	بوش دو رون
Савойя	اوت-ساووآ
Жер	ژر
Тарн и Гаронна	تارن-ا-گارون
Эр и Луар	اور-ا-لوآر
Луара	لوآر
Эна	انه
Нор	نورد
Сомма	سم
Манш	مانش
Дё Севр	دو-سور
Кот-д’Ор	کوت-دور
Шаранта	شرانت-ماریتیم
Ареж	آرییژ
Эро	ارو،
Пюи де Дом	پوی ددوم
Луара	اوت-لوار
Сена — Сен	سن-سن-دونی
Жиронда	ژیروند
Лот	لو
Од	اود
Дром	دروم
Арденн	آردن
Тарн	تارن
Але	آلیه
Шер	شر
Ил и Вилен	ایل-ا-ویلن
Рона	رون
Корсика Верхняя	کرس شمالی
Об	اوب
Крёз	کروز
Департаменти	آلپ-ماریتیم
Морбиан	موربیان
Йонна	یون
Лозер	لوزر
Воклюз	وکلوز
Эндр Луара	اندر الوآر
Сона и Луара	سائون-ا-لوآر
Белфор	بلفور
Лот ва Гаронна	لو-ا-گرون
Гаронна	اوت-گارون
Марна	اوت-مارن
Эн	ان
Савойя	سووآ
Мёрт Мозел	مورت موزل
Пиренеи Атлантикӣ	پیرنه-آتلانتیک
Кот д'Армор	کوت-دارمور
Сен	او-دو-سن
Луаре	لوآره
Эссонна	اسون
Вар	ور
Алп	اوت-آلپ
Эр	اور
Марна	مرن
Аверон	آویرون
Финистер	فینیستر
Вал д'Уаз	ول-دوآز
Сона	اوت-سئون
Ивелин	ایولین
Пиренеи Шарқӣ	پیرنه اوریانتل
Ду	دو
Сена Приморская	سن ماریتیم
Луара Атлантическая	لوآر-آتلانتیک
Ардеш	آردش
Алп Верхнего Прованса	آلپ-دو-اوت-پرووانس
Юра	ژورا
Орн	اورن
Вогез	ووژ
Вал Марн	ول مرن
Изер	ایزر
Корсика Южная	کرس جنوبی
Рейн	با-رن
Шаранта	شارانت
Мозел	موزل
Вандея	وانده
Кантал	کانتال
Коррез	کورز
Сарт	سرت
Рейни	اوت-رن
Невр	نی‌یور
Сена и Марна	سن-ا-مارن
Ланд	لاند
Па де Кале	پا-دو-کاله
Луар и Шер	لوآر-ا-شر
Мёз	موز
Департаменти	اوت-وین
Департаменти	اوت-وین
Бонки Марказии Озарбойҷон	بانک مرکزی آذربایجان
Ўзбекистон	ازبکستان
Қувваҳои амалкунандаи ИМА	ویژه متحده آمریکا
Ҳоэнемс	هوهنمس
Брегентс	برگنتس
Швартсах	شوارتساخ
Дорнбирн	درن‌بیرن
Блудентс	بلودنتس
Фурудгоҳи дюидсн кон	فرودگاه دیویدسن کانتی
Братислава	براتیسلاوا
Мошовтсе	موشوفتسی
Флурер	فلوریر
Флурер	فلوریر
Биржаи	وبگاه کاریابی
пиёданизом	پیاده‌نظام
Шақро	شقرا
Ғазза	غزه
Купер	کوپر
Тими футболи Қатар	تیم فوتبال قطر
Тими футболи Олмон	تیم فوتبال آلمان
миллии футболи Ӯзбекистон	ملی فوتبال ازبکستان
Тими футболи Англия	تیم فوتبال انگلیس
Тими футболи Эрон	تیم فوتبال ایران
тими Тоҷикистон	تیم تاجیکستان
Валденбург	ولدانبورگ،
Русинер	روسینی‌یر
Минтақаи Порис	منطقه پاریس
Минтақаи Порис	منطقه پاریس
минтақаи Порис	منطقه پاریس
минтақаи Порис	منطقه پاریس
Колхоз	کلخوز
Китобхонаи салтанатии Пуртуғол	کابینه سلطنتی پرتغال
Донишгоҳи Аберистуит	دانشگاه آبریستویث
Иморати Исломии Афғонистон	امارت اسلامی افغانستان
Валлетта	والتا
Ондра Прадиш	آندرا پرادش
Шоҳаншоҳии Эрон	شاهنشاهی ایران
Гуҷарот	گجرات
Русияи Ягона	روسیه متحد
Ҷабҳаи озодикунии	جبهه آزادی‌بخش میهنی
Ҳизби Навин	حزب نوین
Ҳизби Халқии Демократии Тоҷикистон	حزب خلق دموکرات تاجیکستان
исломии Афғонистон	اسلامی افغانستان
Қонун ва Адолат	قانون و عدالت
— Гурҷистони	گرجستان
Нур Отан	نور اوتان
Ҳизби аграрии	حزب کشاورزی
Эътилофи Афғонистон	ائتلاف افغانستان
Ҳизби ҷомеагаро	حزب جامعه‌گرا
Ҳизби Баъс	حزب بعث
Ҳизби Корея	حزب کره
Ҷунбиши Гурҷистон	جنبش گرجستان
Ҳизби миллӣ	حزب ملی
Ҳизби Наҳзати Исломии Тоҷикистон	حزب نهضت اسلامی تاجیکستان
милии Укроин	ملی اوکراینی
Ҳизби Истиқлоли Пуэрто-Рико	حزب استقلال پورتوریکو
Ҳизби Сербия	حزب صرب
Ҳизби демукроти ИМА	حزب دموکرات متحده
Непал	نپالی
Амонат	نور اوتان
Ҳизби либерал-демократ	حزب لیبرال دموکرات
Ҳинд	هند
Танзими даъвати исломии Афғонистон	تنظیم دعوت اسلامی افغانستان
Ҳизби панэронӣ	حزب پان ایرانیست
Лело барои Гурҷистон	للو برای گرجستان
Сабзҳо — Алтернативаи	سبزها – آلترناتیو
Ҳизби ҷумҳурихоҳ	حزب جمهوری‌خواه
Ҳизби Адолат ва Тараққиёт	حزب عدالت و توسعه
Ҳаракат сотсиализм	حرکت سوسیالیسم
Ҳизби Эстония	حزب استونی
Ҳизби коммунист Сан-Марино	حزب کمونیست سان مارینو
Ҳизби конститутсионии ИМА	حزب قانون اساسی متحده
Ҳизби демократии	حزب دموکراتیک
Ҳизби вигҳои	حزب ویگ
Миллӣ барои Демократия	ملی برای دموکراسی
Гоминдан	کومینتانگ
Ҳизби либертарии	حزب لیبرترین
Абвер	آبوهر
Пойгоҳи нерӯе ҳаво дарё Чин	پایگاه نیروی هوایی دریایی چین
мусаллаҳи Исломии Эрон	مسلح اسلامی ایران
Бангалор	بنگلور
Мумбай	بمبئی
Ченнаи	چنای
Мазуллас	ماسولاس
Алтавилла-Ирпина	التاویلا ایرپینا
Гоннозно	گونوسنو
Айелло-дел-Сабато	ایلو دل ساباتو
Боронедду	بوروندو
Таурази	تاوراسی
Мелито-Ирпино	ملیتو ایرپینو
Минтурно	مینتورنو
Луогосано	لووگوسانو
Бауладу	باولادو
Санту-Луссурҷу	سانتو لوسورجیو
Фордонҷанус	فوردونجیانوس
Монтреста	مونترستا
Самугео	ساموگئو
Сиапичча	سیاپیچیا
Моргонҷори	مورگونجیوری
Нуречи	نورچی
Куркурис	کورکوریس
Модоло	مودولو
Вилланова-дел-Баттиста	ویلانووا دل باتیستا
Монтефорте-Ирпино	مونته‌فورته ایرپینو
Олластра	اولاسترا
Болоня	بولونیا
Кастелфранчи	کاستلفرانچی
Куадрелле	کوادرله
Вилламайна	ویلاماینا
Таурано	تاورانو
Боза	بوسا
Сиамаҷоре	سیاماجوره
Сагама	ساگاما
Конса-делла-Кампания	کونتزا دلا کامپانیا
Калитри	کالیتری
Теора	تئورا
Баратили-Сан-Пйетро	باراتیلی سن پیترو
Скано-Монтиферро	اسکانو دی مونتیفرو
Терралба	ترالبا
Кайрано	کایرانو
Трезнурагес	ترسنوراگس
Нарболия	ناربولیا
Сиаманна	سیامانا
Монтемарано	مونته‌مارانو
Ассоло	آسولو
Паулилатино	پائولیلاتینو
Рокка-Сан-Феличе	روکا سان فلیچه
Червинара	چروینارا
Монтефалчоне	مونته‌فالچیونه
Сонрему	سانرمو
Гречи	گرچی،
Қоштилло	کارونا
Бузаки	بوساچی
Виллаурбана	ویلاوربانا
Урас	اوراس
Калабритто	کالابریتو
Нола	نولا
Неапол	ناپل
Кассано-Ирпино	کاسانو ایرپینو
Аллаи	الای،
Куиндичи	کویندیچی
Триест	تریسته
Лиони	لیونی
Флуссио	فلوسیو
Кандида	کاندیدا،
Магомадас	ماگوماداس
Санта-Ҷуста	سانتا جیوستا
Ула-Тирсо	اولا تیرزو
Авелла	آولا
Каприля-Ирпина	کاپریلیا ایرپینا
Гонностраматса	گونوستراماتزا
Могоро	موگورو
Бриндисӣ	بریندیسی
Милис	میلیس
Лачедония	لاچدونیا
Гуардия-Ломбарди	گواردیا لومباردی
Монтемилетто	مونته‌میلتو
Манокалтсати	مانوکالتزاتی
Гроттаминарда	جروتامیناردا
Авеллино	آولینو
Казалборе	کاسالبوره
Волтурара-Ирпина	وولتورارا ایرپینا
Кастелветере-сул-Калоре	کاستلورتره سول کالوره
Сенис	سنیس
Содди	سودی
Контрада	کونترادا
Баресса	بارسا
Сан-Николо-д’Арчидано	سان نیکولو دآرچیدانو
Лауро	لاورو
Пунтедеро	پونتدرا
Мудено	مودنا
Кастел-Барония	کاستل بارونیا
Ҷенони	جنونی
Банйоли-Ирпино	باگنولی ایرپینو
Вилла-Сант-Антонио	ویلا سانتآنتونیو
Палермо	پالرمو
Кюзано-ди-Сан-Доменико	دی سان دومنیکو
Седдиани	زددیانی
Турин	تورین
Гиларса	گیلارتزا
Могорелла	مورگورلا
Лапио	لاپیو
Марсано-ди-Нола	مارتزانو دی نولا
Ардаули	آردائولی
Сан-Веро-Милис	سن ورو میلیس
Аквилония	آکویلونیا،
Ариано-Ирпино	آریانو ایرپینو
Кулйери	کولیری
Норбелло	نوربلو
Бизачча	بیساکچیا
Нураки	نوراچی
Арборея	آربوریا
Кянке	چیانچه
Суни	سونی
Атрипалда	آتریپالدا
Узеллус	اوزلوس
Карифе	کاریفه
Монтеверде	مونته‌ورده
Силиго	سیلی‌گو
Аббасанта	عباس‌انتا
Андретта	آندرتا
Баяно	بایانو
Черталдо	چرتالدو
Прато	پراتو
Вентикано	ونتیکنو
Домичелла	دومیچلا
Бидони	بیدونی
Лоётику	لایاتیکو
Вилланова-Трускеду	ویلانووا تروسکدو
Сенеге	سنگه
Траматса	تراماتسا
Симаксис	سیماکسیس
Гонноскодина	گونوسکودینا
Бонито	بونیتو،
Дзерфалиу	تزرفالیو
Сини	سینی
Ливорно	لیورنو
Пау	پاو
Тсунголӣ	تزونگولی
Генуя	جنوا
Азуни	آسونی
Седило	سدیلو
Риола-Сардо	ریولا ساردو
Бонаркадо	بونارادو
Виллата	والاتا
Капоселе	کاپوزله
Мирабелла-Эклано	میرابلا اکلانو
Монтекалво-Ирпино	مونته‌کالوو ایرپینو
Монтефуско	مونته فوسکو
Монтагуто	مونتاگوتو
Лакони	لاکونی
Руинас	رویناس
Валлесаккарда	واله‌ساکاردا
Айдомаҷоре	ایداماجیور
Соларусса	سولاروسا
Албаҷара	الباگیارا
Барадили	بارادیلی
Кабрас	کابراس
Сеннариоло	سناریولو
Неонели	نئونلی
Сирис	سیریس
Монтелла	مونتلا
Бари	باری
Тадазуни	تاداسونی
Гроттолелла	جروتوله‌لا
Монтефредане	مونته‌فردانه
Нугеду-Санта-Виттория	نوگدو سانتا ویتوریا
Палмас-Арбореа	پالماس آربورئا
Симала	سیمالا
Вилла-Верде	ویلا ورده
Помпу	پومپو
Тиннура	تینورا
Соррадиле	سورادیله
Гуанчжоу	گوانگ‌ژو
Шион	شی‌آن
Ҳэнанфу	لوئویانگ
Шитсзячжуан	شیجیاژوانگ
Койфенг	کایفنگ
Вуҳон	ووهان
Кунминг	کون‌مینگ
Шингтой	شینگتای
Сзинин	جینینگ
Ҳорбин	هاربین
Горретсвилл	گارستویل،
Флорида	فلوریدا،
Ок-Парк	اوک پارک،
Ковишгари хуршедии Поркер	کاوشگر خورشیدی پارکر
Гримстод	گریمستا
Вугу	ووگو
Кристиёнсонн	کریستیان‌ساند
Тюсвер	تیسور،
Baskin-Робинс	بسکین-رابینز
Baskin-Робинс	بسکین-رابینز
Baskin-Робинс	بسکین-رابینز
Нерӯҳои Русия	نیروهای روسیه
Мусаллаҳи Ҷумҳурии Тоҷикистон	تاجیکستان
Артиши Эрон	ارتش ایران
Нерӯҳои Укроин	نیروهای اوکراین
нерӯи ҳавоӣ	نیروی هوایی
нерӯи заминӣ	نیروی زمینی
Қӯшунҳои Зудамали	قشون‌های مابیلی
Монтклэр	مونتکلیر،
Монтклэр	مونتکلیر،
Саноеъи ҳавоии Қудс	صنایع هوایی قدس
Саноеъи ҳавоии Қудс	صنایع هوایی قدس
Саноеъи ҳавоии Қудс	صنایع هوایی قدس
Иран Худрав	ایران خودرو
нақшбандия	نقشبندیه
Маломатия	ملامتیه
Чиштия	چشتیه
Бектошия	بکتاشیه
қодирия	قادریه
Мавлавия	مولویه
Ҳайати бозбини филми	هیئت بازبینی فیلم
Уплонд	اوپلاند
Ҳедмарк	هدمارک
Оуст-Огдер	اوست آدر
Вест-Огдер	وست آدر
Тромс	ترومز
Маъбади Шоулин	معبد شائولین
Папеэте	پاپیته
Гандора	گنداره
Нумеа	نومئا
бонк	بانک
Эрланген-Ҳёхштадт	ارلانگن-هخشتات
Нуйморкт	نویمارکت
ноҳияи Кулмбах	ناحیه کولمباخ
Ҳелсинкӣ	هلسینکی
Акаа	اکاء
Сало	سالو،
Тампере	تامپری
Порӣ	پوری
Рийҳимокӣ	ریهیماکی
Валкеакоски	والکیاکوسکی
Вааса	واسا
Алавус	الاواس
донишгоҳи Димишқ	دانشگاه دمشق
Донишгоҳи Повиё	دانشگاه پاویا
Донишгоҳи Урал	دانشگاه اورال
Донишгоҳи Шероз	دانشگاه شیراز
Донишгоҳи Тишрин	دانشگاه تشرین
Донишгоҳи давлатии Маскав	دانشگاه دولتی مسکو
Донишгоҳи Тирана	دانشگاه تیرانا
Донишгоҳи Қатар	دانشگاه قطر
Донишгоҳи Тифлис	دانشگاه تفلیس
Донишгоҳи Рум	دانشگاه رم
Донишгоҳи Инсбрук	دانشگاه اینسبروک
Донишгоҳи Дакка	دانشگاه داکا
Донишгоҳи Лвиф	دانشگاه لووف
Донишгоҳи Африқои Ҷанубӣ	دانشگاه آفریقای جنوبی
Донишгоҳи давлатии Ереван	دانشگاه دولتی ایروان
Донишгоҳи Доруссалом	دانشگاه دارالسلام
Донишгоҳи Претория	دانشگاه پرتوریا
Донишгоҳи исломии Алигар	دانشگاه اسلامی علیگر
Фурудгоҳи бин‌алмилалӣ шнжн бун	فرودگاه بین‌المللی شنژن بن
Тиҷоратбонк	بانک
Тиҷоратбонк	بانک
Фурудгоҳи бин‌алмилалӣ боюн гуонгҷу	فرودگاه بین‌المللی بایون گوآنگجو
Фурудгоҳи Никола Тесла	فرودگاه نیکولا تسلا
Донишгоҳи Лусайл	دانشگاه لوسیل
донишгоҳи амрикоии Байрут	دانشگاه آمریکایی بیروت
низомии салтанатии Сандҳурст	نظامی سلطنتی سندهرست
Миср	مصر
Окодимӣ нерӯе ҳаво Покистон	آکادمی نیروی هوایی پاکستان
Окодимӣ нерӯе ҳаво Покистон	آکادمی نیروی هوایی پاکستان
Эндшпил	اند
Вротслав	وروتسواف
Краков	کراکوف
Жешув	ژشوف
Котувитс	کاتوویتس
Гдиня	گدنیا
Бидгошч	بیدگوشچ
Торун	ترونی
Штеттин	شچچین
Гданск	گدانسک
Хагатна	هاگاتنا
Медали Москва»	مدال مسکو
Франкмасонӣ	فراماسونری
