аамм	اعم
анворафшон	انوارافشان
анвоъ	انواع
анг	انگ
ангабин	انگبين
ангак	انگک
ангал	انگل
ангала	انگله
ангалюн	انگليون
ангар	انگر
ангат	انگت
ангатзор	انگتزار
ангаф	انگف
ангашба	انگشبه
ангез	انگيز
ангеза	انگيزه
ангезанда	انگيزنده
ангезидан	انگيزيدن
ангезиш	انگيزش
ангехта	انگيخته
ангезон	انگيزان
ангезонидан	انگيزانيدن
ангехтан	انگيختن
ангидрид	انگيدرد
ангина	انگينه
ангишт	انگشت
ангиштбарорӣ	انگشت براري
ангиштвор	انگشت وار
ангиштгар	انگشت گر
ангишткан	انگشت کن
ангиштканӣ	انگشت کني
ангиштол	انگشتال
ангиштпора	انگشت پاره
ангиштпулӣ	انگشت پولي
ангиштсанг	انگشت سنگ
ангиштфурӯш	انگشت فروش
ангиштфурӯшӣ	انگشت فروشي
ангиштхона	انگشت خانه
англисзабон	انگليس زبان
англисизабон	انگليسي زبان
англисӣ	انگليسي
ангоз	انگاز
ангор	انگار
ангора	انگاره
ангорахар	انگاره خر
ангоридан	انگاريدن
ангоштан	انگاشتن
ангстрем	انگستريم
ангубин	انگبين
ангубина	انگبينه
ангубиндор	انگبيندار
ангубинлаб	انگبين لب
ангубинхона	انگبين خانه
ангудон	انگودان
ангула	انگوله
ангур	انگور
ангурало	انگورالا
ангурдон	انگوردان
ангурзор	انگورزار
ангурӣ	انگوري
ангурпаз	انگورپز
ангурпазӣ	انگورپزي
ангурпазон	انگورپزان
ангурпарвар	انگورپرور
ангурпарварӣ	انگورپروري
ангурфурӯш	انگورفروش
ангурфурӯшӣ	انگورفروشي
ангурчин	انگورچين
ангурчинӣ	انگورچيني
ангушт	انگشت
ангушта	انگشته
ангуштак	انگشتک
ангуштар	انگشتر
ангуштарин	انگشترين
ангуштарӣ	انگشتري
ангуштвона	انگشتوان
ангуштгаз	انگشتگز
ангуштгазон	انگشت گزان
ангуштмонанд	انگشت مانند
ангуштнамо	انگشت نما
ангуштнамоӣ	انگشت نمائي
ангуштона	انگشتانه
ангуштпеч	انگشت پيچ
ангуштпона	انگشت پانه
ангуштхоӣ	انگشتخائي
ангуштшумор	انگشت شمار
анд	اند
андак	اندک
андакёб	اندک ياب
андакмоя	اندک مايه
андакмоягӣ	اندک مايگي
андак-мундак	اند ک مندک
андакриш	اندک ريش
андаксидан	اندکسيدن
андакхирад	اندک خرد
андакхор	اندک خوار
андакхӯр	اندک خور
андалеб	عندليب
андалебоҳанг	عندليب آهنگ
андама	اندمه
андар	اندر
андарафтодан	اندرافتادن
андаргоҳ	اندرگاه
андаргузаштан	اندرگذشتن
андарёфт	اندريافت
андарз	اندرز
андарзгӯй	اندرزگوي
андарзнома	اندرزنامه
андарзхонӣ	اندرزخواني
андаркашидан	اندرکشيدن
андармон	اندرمان
андармондан	اندرماندن
андармонӣ	اندرماني
андаровардан	اندرآوردن
андаровехтан	اندرآويختن
андаромадан	اندرآمدن
андаррасидан	اندررسيدن
андарун	اندرون
андарунӣ	اندروني
андархур	اندرخور
андархурд	اندرخورد
андархурдан	اندرخوردن
андаршудан	اندرشدن
андаряк	اندريک
анде	اندي
андеш	انديش
андеша	انديشه
андешавар	انديشه ور
андешаварз	انديشه ورز
андешакор	انديشه کار
андешакорӣ	انديشه کاري
андешаманд	انديشه مند
андешамандӣ	انديشه مندي
андешамандона	انديشه مندانه
андешанок	انديشه ناک
андешанокӣ	انديشه ناکي
андешаронӣ	انديشه راني
андешасанҷ	انديشه سنج
андешасигол	انديشه سگال
андешасӯз	انديشه سوز
андешидан	انديشيدن
андова	انداوه
андовагар	انداوه گر
андовакунӣ	انداوه کني
андовачӣ	انداوه چي
андовачӯб	انداوه چوب
андовашуда	انداوه شده
андовидан	انداويدن
андоз	انداز
андоза	اندازه
андозагир	اندازه گير
андозагирӣ	اندازه گيري
андозагузорӣ	اندازه گذاري
андозашинос	اندازه شناس
андоздиҳанда	اندازدهنده
андозпардоз	اندازپرداز
андозсупор	اندازسپار
андозчинӣ	اندازچيني
андоидан	اندائيدن
андоиш	اندايش
андоишгар	اندايشگر
андом	اندام
андохт	انداخت
андохта	انداخته
андохтан	انداختن
андохтанӣ	انداختني
андуд	اندود
андудан	اندودن
андӯз	اندوز
андӯхт	اندوخت
андӯхта	اندوخته
андӯхтан	اندوختن
андӯҳ	اندوه
андӯҳангез	اندوه انگيز
андӯҳгин	اندوه گين
андӯҳгинӣ	اندوه گيني
андӯҳгинона	اندوه گينانه
андӯҳгусор	اندوه گسار
андӯҳгусорӣ	اندوه گساري
андӯҳзада	اندوه زده
андӯҳкаш	اندوه کش
андӯҳманд	اندوه مند
андӯҳнок	اندوه ناک
андӯҳовар	اندوه آور
андӯҳсарой	اندوه سراي
андӯҳхез	اندوه خيز
андӯҳхор	اندوه خوار
анёб	انياب
анзор	انظار
анзур	انزور
анзурат	انزورت
анид	عنيد
аниқ	انيق
аниқӣ	انيقي
анин	انين
анис	انيس
аниф	عنيف
анкабут	عنکبوت
анкета	انکيته
анқариб	عنقريب
анқо	عنقا
аннотатсия	اناتتسيه
ано	عنا
анод	اناد
анодил	عنادل
аноӣ	اناي
анокиб	عناکب
аном	انام
аномалия	انامليه
анонс	انانس
анор	انار
анорбун	اناربن
аноргул	انارگل
анордона	اناردانه
анордонак	اناردانک
анорзор	انارزار
анористон	انارستان
анорӣ	اناري
анорранг	اناررنگ
аносир	عناصر
анофелес	انافيليس
ансамбл	انسمبل
ансоб	انساب
ансор	انصار
ансул	انسول
ансур	انسور
антагонизм	انتگانزم
антенна	انتينه
анти-	انتِ
антибиотикҳо	انتبئاتکها
антиқа	عنتيقه
антиқафурӯш	عنتيقه فروش
антиқафурӯшӣ	عنتيقه فروشي
антиқӣ	عنتيقي
антисептика	انتسيپتکه
антисиклон	انتسکلان
антитезис	انتتيزس
антифашист	انتفشست
антоним	انتانيم
антрополог	انتراپالاگ
антропология	انتراپالاگيه
ануд	انود
анудона	انودانه
анӯша	انوشه
унф	عنف
анф	عنف
анфос	انفاس
анфус	انفس
анҳор	انهار
анча	انچه
анчар	انچر
анҷара	انجره
анҷибар	انجيبر
анҷида	انجيده
анҷидан	انجيدن
анҷир	انجير
анҷирбун	انجيربن
анҷирзор	انجيرزار
анҷирпазон	انجيرپزان
анҷирхор	انجيرخوار
анҷирхӯр	انجيرخور
анҷом	انجام
анҷома	انجامه
анҷомбахш	انجام بخش
анҷомдиҳанда	انجام دهنده
анҷомидан	انجاميدن
анҷомнопазир	انجام ناپزير
анҷомпазир	انجام پزير
анҷомхона	انجام خانه
анҷомшуданӣ	انجام شدني
анҷудон	انجدان
анҷум	انجم
анҷуман	انجمن
анҷуманафрӯз	انجمن افروز
анҷумангоҳ	انجمنگاه
анҷуманоро	انجمن آرا
анҷуманпиро	انجمن پيرا
анҷумансоз	انجمن ساز
анҷумсипоҳ	انجم سپاه
анҷумшинос	انجم شناس
анҷура	انجوره
анҷух	انجوخ
анҷухидан	انجوخيدن
анъана	عنعنه
анъанавӣ	عنعنوي
анъанапараст	عنعنه پرست
анъанапарастӣ	عنعنه پرستي
апа	اپه
апатит	اپتيت
апрел	اپريل
апрелӣ	اپريلي
ар	ار
араб	عرب
арабзабон	عرب زبان
арабзода	عرب زاده
арабизм	عربيزم
арабӣ	عربي
арабпарвард	عرب پرورد
арабшинос	عرب شناس
арабшиносӣ	عرب شناسي
араз	عرض
аразӣ	عرضي
арақ	عرق
арақгирӣ	عرق گيري
арақин	عرقين
арақӣ	عرقي
арақкаш	عرق کش
арақкашӣ	عرق کشي
арақнок	عرق ناک
арақнӯш	عرق نوش
арақнӯшӣ	عرق نوشي
арақоб	عرق آب
арақовар	عرق آور
арақолуд	عرق آلود
арақрез	عرق ريز
арақрезӣ	عرق ريزي
арақрезон	عرق ريزان
арақсӯз	عرق سوز
арақсӯзӣ	عرق سوزي
арақфурӯш	عرق فروش
арақфурӯшӣ	عرق فروشي
арақхӯр	عرق خور
арақхӯрӣ	عرق خوري
арақчин	عرق چين
арақҷӯш	عرق جوش
арақшор	عرق شار
арал	ارل
аралаш	ارلش
аранг	ارنگ
аранге	ارنگي
ар-ар	ار ار
ар-арӣ	ار اري
ар-аркунон	ار ارکنان
арасот	عرصات
арафа	عرفه
араш	ارش
арбада	عربده
арбадакаш	عربده کش
арбадакашон	عربده کشان
арбадакор	عربده کار
арбадакунон	عربده کنان
арбадаҷӯй	عربده جوي
арбадаҷӯёна	عربده جويانه
арбитраж	اربيترژ
